Nom des Bots;Stratégie;Victoires;Défaites;Parties;Ratio;Points Moy
CPU1;Rusher;1571;8429;10000;0.16;19.82
CPU2;Rusher;1932;8068;10000;0.19;18.59
CPU3;Rusher;2031;7969;10000;0.2;18.89
CPU4;Rusher;2144;7856;10000;0.21;16.52
CPU5;Rusher;2322;7678;10000;0.23;21.86
