Nom des Bots;Stratégie;Victoires;Défaites;Parties;Ratio;Points Moy
CPU1;SpecialVinh;1428;8572;10000;0.14;16.87
CPU2;Rusher;2123;7877;10000;0.21;22.86
CPU3;Batisseur;1063;8937;10000;0.11;10.76
CPU4;Merveille;1683;8317;10000;0.17;10.86
CPU5;Commercant;1923;8077;10000;0.19;17.04
CPU6;Opportuniste;1256;8744;10000;0.13;11.91
CPU7;Griefer;524;9476;10000;0.05;10.2
