Nom des Bots;Stratégie;Victoires;Défaites;Parties;Ratio;Points Moy
CPU1;SpecialVinh;1587;8413;10000;0.16;19.57
CPU2;Rusher;1699;8301;10000;0.17;18.15
CPU3;Batisseur;1143;8857;10000;0.11;14.39
CPU4;Merveilles;1680;8320;10000;0.17;17.99
CPU5;Commercant;1963;8037;10000;0.2;21.03
CPU6;Opportuniste;1415;8585;10000;0.14;14.7
CPU7;Griefer;513;9487;10000;0.05;16.01
